Date,CPUTemp,CPU Usage,RAM Usage,GPS,IMU,UV,Dallas Temperature
2024-07-18 11:13:04,{'Temperature': 74.35},{'Usage': 0.0},{'Usage': 16.5},Error,"{'Acceleration': [0.9409212524414062, -0.6871358764648438, -9.957484704589843], 'Gyro': [-0.008526799633587786, 0.0018652374198473284, -0.0005329249770992366], 'Magnetic': [-9.6, 28.5, -20.849999999999998]}","{'UVA': 4.68994140625, 'UVB': 0.155731201171875, 'UVC': 0.05572509765625, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:13:11,{'Temperature': 74.35},{'Usage': 4.8},{'Usage': 16.5},Error,"{'Acceleration': [0.8978256225585937, -0.7110778930664062, -9.95987890625], 'Gyro': [-0.006928024702290077, 0.00479632479389313, -0.0018652374198473284], 'Magnetic': [-7.6499999999999995, 29.7, -21.9]}","{'UVA': 4.75738525390625, 'UVB': 0.259552001953125, 'UVC': 0.129180908203125, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:13:17,{'Temperature': 74.9},{'Usage': 0.3},{'Usage': 16.6},Error,"{'Acceleration': [0.9097966308593749, -0.6560112548828124, -9.957484704589843], 'Gyro': [-0.006928024702290077, 0.005862174748091604, 0.0002664624885496183], 'Magnetic': [-9.0, 29.099999999999998, -20.7]}","{'UVA': 4.72625732421875, 'UVB': 0.201873779296875, 'UVC': 0.0911865234375, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:13:24,{'Temperature': 74.9},{'Usage': 0.0},{'Usage': 16.7},Error,"{'Acceleration': [0.9696516723632812, -0.6679822631835937, -10.000580334472655], 'Gyro': [-0.006928024702290077, 0.007727412167938932, -0.005595712259541985], 'Magnetic': [-9.299999999999999, 29.25, -20.55]}","{'UVA': 4.77813720703125, 'UVB': 0.294158935546875, 'UVC': 0.159576416015625, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:13:31,{'Temperature': 76.55},{'Usage': 5.0},{'Usage': 16.6},Error,"{'Acceleration': [1.0031704956054688, -0.6416460449218749, -9.962273107910155], 'Gyro': [-0.00319754986259542, 0.004529862305343512, 0.0], 'Magnetic': [-7.949999999999999, 28.65, -21.45]}","{'UVA': 4.752197265625, 'UVB': 0.2076416015625, 'UVC': 0.09625244140625, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:13:38,{'Temperature': 74.35},{'Usage': 14.8},{'Usage': 16.7},Error,"{'Acceleration': [1.0103531005859374, -0.7110778930664062, -9.952696301269532], 'Gyro': [-0.004529862305343512, 0.007727412167938932, 0.000799387465648855], 'Magnetic': [-7.5, 29.849999999999998, -23.25]}","{'UVA': 4.7003173828125, 'UVB': 0.2076416015625, 'UVC': 0.0911865234375, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:13:45,{'Temperature': 75.45},{'Usage': 0.2},{'Usage': 16.7},Error,"{'Acceleration': [0.9409212524414062, -0.6631938598632812, -9.964667309570311], 'Gyro': [-0.008526799633587786, 0.002931087374045802, -0.00159877493129771], 'Magnetic': [-6.8999999999999995, 29.25, -21.599999999999998]}","{'UVA': 4.8455810546875, 'UVB': 0.236480712890625, 'UVC': 0.11651611328125, 'Temperature': 29.450000000000003}",Error
2024-07-18 11:13:52,{'Temperature': 75.45},{'Usage': 0.0},{'Usage': 16.7},Error,"{'Acceleration': [0.97683427734375, -0.6392518432617187, -9.95987890625], 'Gyro': [-0.004529862305343512, 0.0061286372366412215, -0.002398162396946565], 'Magnetic': [-7.6499999999999995, 28.799999999999997, -22.349999999999998]}","{'UVA': 4.74700927734375, 'UVB': 0.224945068359375, 'UVC': 0.1114501953125, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:13:59,{'Temperature': 74.35},{'Usage': 0.0},{'Usage': 16.6},Error,"{'Acceleration': [0.9600748657226562, -0.6607996582031249, -9.97184991455078], 'Gyro': [-0.014921899358778627, 0.0061286372366412215, -0.0021316999083969466], 'Magnetic': [-9.0, 27.9, -20.7]}","{'UVA': 4.752197265625, 'UVB': 0.224945068359375, 'UVC': 0.1114501953125, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:14:05,{'Temperature': 75.45},{'Usage': 3.2},{'Usage': 17.0},Error,"{'Acceleration': [0.9552864624023437, -0.6440402465820312, -9.969455712890625], 'Gyro': [-0.007460949679389314, 0.007460949679389314, 0.0013323124427480919], 'Magnetic': [-7.949999999999999, 28.349999999999998, -21.75]}","{'UVA': 4.7418212890625, 'UVB': 0.213409423828125, 'UVC': 0.101318359375, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:14:12,{'Temperature': 73.8},{'Usage': 1.0},{'Usage': 16.6},Error,"{'Acceleration': [0.97683427734375, -0.6703764648437499, -9.976638317871092], 'Gyro': [-0.005862174748091604, 0.009326187099236643, -0.00319754986259542], 'Magnetic': [-7.6499999999999995, 28.05, -21.9]}","{'UVA': 4.71588134765625, 'UVB': 0.305694580078125, 'UVC': 0.16717529296875, 'Temperature': 29.349999999999994}",Error
